weight,height,color,no_of_wheels,vehicle_type
1484,116,red,4,Car
993,159,red,2,Bike
1684,125,blue,2,Bike
2397,85,black,4,Car
870,180,green,2,Bike
1559,88,blue,2,Bike
1695,81,yellow,2,Bike
1047,52,red,2,Bike
1599,160,white,4,Car
1116,112,green,2,Bike
2198,111,yellow,4,Car
1716,147,yellow,2,Bike
2043,79,white,4,Car
1880,140,yellow,4,Car
1761,167,blue,2,Bike
1976,121,yellow,4,Car
1144,145,green,2,Bike
2220,108,blue,4,Car
2010,69,black,4,Car
2235,130,white,4,Car
1091,53,blue,2,Bike
889,67,black,2,Bike
2190,89,green,4,Car
1322,170,blue,4,Car
1601,128,black,4,Car
2217,126,white,4,Car
1074,117,white,2,Bike
1471,157,green,2,Bike
1083,75,red,2,Bike
2259,114,yellow,4,Car
2372,90,red,4,Car
1421,78,yellow,4,Car
1754,97,yellow,2,Bike
1524,81,white,4,Car
1915,141,blue,4,Car
2422,121,black,4,Car
1653,68,black,4,Car
2329,74,green,4,Car
890,107,black,2,Bike
2254,85,black,4,Car
1862,62,yellow,4,Car
2012,53,red,4,Car
1562,160,white,2,Bike
872,69,red,2,Bike
1088,142,black,2,Bike
1386,72,black,2,Bike
1569,51,white,2,Bike
2475,88,blue,4,Car
878,141,black,2,Bike
2409,107,blue,4,Car
2480,84,black,4,Car
2302,170,yellow,4,Car
811,82,yellow,2,Bike
1541,54,blue,2,Bike
954,110,red,2,Bike
1822,88,yellow,4,Car
1756,133,black,2,Bike
2075,143,red,4,Car
1487,64,green,2,Bike
1817,59,yellow,4,Car
2192,100,green,4,Car
2366,59,black,4,Car
1184,71,yellow,2,Bike
1727,74,black,2,Bike
1674,106,blue,2,Bike
851,166,white,2,Bike
1104,180,blue,2,Bike
998,75,red,2,Bike
1879,165,green,4,Car
1302,121,black,4,Car
1988,169,white,4,Car
1613,164,white,2,Bike
818,104,blue,2,Bike
2118,91,black,4,Car
1693,64,white,2,Bike
2019,162,green,4,Car
1763,65,white,2,Bike
2138,149,red,4,Car
1257,123,blue,4,Car
1347,102,blue,2,Bike
2317,107,white,4,Car
2379,159,yellow,4,Car
1971,57,blue,4,Car
1118,170,yellow,2,Bike
1663,75,red,2,Bike
2243,92,green,4,Car
1399,100,white,4,Car
1140,154,blue,2,Bike
1218,157,green,4,Car
1708,138,black,2,Bike
1607,112,white,2,Bike
1738,60,red,4,Car
1445,180,red,2,Bike
1587,161,white,4,Car
1361,133,green,4,Car
2439,51,white,4,Car
1820,50,blue,4,Car
2204,86,green,4,Car
1077,177,white,2,Bike
1809,70,blue,4,Car
1343,146,green,2,Bike
2035,147,blue,4,Car
1771,69,red,2,Bike
2282,53,black,4,Car
1077,62,yellow,2,Bike
1052,112,blue,2,Bike
2336,118,black,4,Car
2015,145,white,4,Car
1348,117,green,2,Bike
1164,157,green,2,Bike
1961,82,white,4,Car
1556,146,green,4,Car
996,140,white,2,Bike
1746,174,white,4,Car
2472,76,red,4,Car
1629,89,blue,4,Car
1163,98,green,2,Bike
1453,75,white,4,Car
2169,126,green,4,Car
1268,55,green,4,Car
2221,163,blue,4,Car
2292,152,blue,4,Car
1415,175,black,4,Car
2321,51,yellow,4,Car
1394,127,black,4,Car
